Dataset,Transform,Sample_Index,Sample_ID,Actual_Stiffness,Original_Ensemble_Prediction,Transformed_Ensemble_Prediction,Signed_Prediction_Change,Absolute_Prediction_Change,Relative_Prediction_Change_Percent,Original_Member_Std,Transformed_Member_Std,Original_Absolute_Error,Transformed_Absolute_Error,Numerically_Unchanged_At_1e_8
Test,mirror_y,38,randomness_0.8659,0.009412657469511032,0.013684233091771603,0.012980677746236324,-0.000703555345535279,0.000703555345535279,5.141357508433047,0.0010738589324913476,0.0007873040377629282,0.004271575622260571,0.003568020276725292,False
Test,mirror_y,39,randomness_0.6527,0.016307538375258446,0.01739366017282009,0.016643260791897773,-0.0007503993809223168,0.0007503993809223168,4.31421203741186,0.00030196697055607597,0.00045374278070359523,0.0010861217975616441,0.0003357224166393273,False
Test,mirror_y,40,randomness_0.3073,0.0371292345225811,0.036227117478847506,0.03643516227602959,0.00020804479718208174,0.00020804479718208174,0.574279191005346,0.0004818757562414866,0.00027224277582385445,0.000902117043733594,0.0006940722465515123,False
Test,mirror_y,41,randomness_0.2082,0.03589737415313721,0.03766464963555336,0.03750200644135475,-0.00016264319419861256,0.00016264319419861256,0.4318192144951916,0.0002986247132792836,0.0004355090106232468,0.0017672754824161543,0.0016046322882175418,False
Test,mirror_y,42,randomness_0.9019,0.002554831327870488,0.0018761396466288715,0.00249969142023474,0.0006235517736058684,0.0006235517736058684,33.2358934328952,0.0009776922420336135,0.0005572827752954724,0.0006786916812416167,5.51399076357483e-05,False
Test,mirror_y,43,randomness_0.2102,0.038845494389534,0.03721804246306419,0.03726891428232193,5.087181925773898e-05,5.087181925773898e-05,0.13668590793893856,0.000272263632285231,0.0001940757699708932,0.0016274519264698056,0.0015765801072120667,False
Test,mirror_y,44,randomness_0.7137,0.014563924632966518,0.016224480979144574,0.015045553632080554,-0.0011789273470640196,0.0011789273470640196,7.266348603566719,0.0006483515215711671,0.0005428480136686756,0.0016605563461780555,0.00048162899911403587,False
Test,mirror_y,45,randomness_0.4084,0.033570900559425354,0.03115663640201092,0.03169238269329071,0.0005357462912797886,0.0005357462912797886,1.7195254467366392,0.00038002175419242257,0.00045269477019652934,0.002414264157414435,0.0018785178661346463,False
Test,mirror_y,46,randomness_0.9479,0.009905030019581318,0.003564971638843417,0.004327394673600793,0.0007624230347573762,0.0007624230347573762,21.38651052508033,0.0011500230371053598,0.0006780869818894083,0.0063400583807379,0.005577635345980525,False
Test,mirror_y,47,randomness_0.3193,0.03850352391600609,0.03679937720298767,0.03747230470180511,0.0006729274988174425,0.0006729274988174425,1.8286382813098498,0.0005793795966778069,0.000360035234757355,0.0017041467130184187,0.0010312192142009763,False
Test,mirror_y,48,randomness_0.2813,0.03455840423703194,0.03746616169810295,0.0375757597386837,0.00010959804058074951,0.00010959804058074951,0.2925254032261833,0.00027788633163403374,0.0002508976916348547,0.0029077574610710116,0.003017355501651761,False
Test,mirror_y,49,randomness_0.9990,0.0025757469702512026,0.0072799215093255045,0.006904725916683674,-0.0003751955926418306,0.0003751955926418306,5.153841180309553,0.000745375169627892,0.0007622705879619378,0.004704174539074302,0.004328978946432471,False
Test,mirror_y,50,randomness_0.0861,0.03853650018572807,0.038480544835329054,0.03826935216784477,-0.00021119266748428206,0.00021119266748428206,0.5488297226248878,0.0004947164727033881,0.000431319322591534,5.595535039901872e-05,0.0002671480178833008,False
Test,mirror_y,51,randomness_0.9900,0.0056488653644919395,0.004898893274366855,0.003914655279368162,-0.0009842379949986935,0.0009842379949986935,20.0910275010206,0.0004951679243967955,0.0005581079847373319,0.0007499720901250843,0.0017342100851237777,False
Test,mirror_y,52,randomness_0.6787,0.017087284475564957,0.012462884187698364,0.011734361387789249,-0.0007285227999091152,0.0007285227999091152,5.84553935459187,0.00025533539947025823,0.00025012592487107124,0.004624400287866592,0.005352923087775708,False
Test,mirror_y,53,randomness_0.5836,0.024796433746814728,0.021872729063034058,0.02146037146449089,-0.0004123575985431685,0.0004123575985431685,1.8852590243988907,0.000294478286253438,0.0009252945422461234,0.00292370468378067,0.0033360622823238387,False
Test,mirror_y,54,randomness_0.9790,0.0026478071231395006,0.0023696299642324446,0.0016145709669217467,-0.0007550589973106979,0.0007550589973106979,31.864004452495674,0.000561668169040909,0.0005156272859102034,0.00027817715890705603,0.0010332361562177539,False
